name,gender,glass,beard,hair,mask,expression
000001.jpg,1,0,0,2,0,3
000002.jpg,1,0,0,1,0,3
000003.jpg,0,0,0,1,0,6
000004.jpg,0,0,0,2,0,3
000005.jpg,1,0,0,1,0,2
000006.jpg,1,1,0,2,0,6
000007.jpg,0,0,0,1,0,3
000008.jpg,0,0,0,1,0,3
000009.jpg,1,0,0,2,0,3
000010.jpg,1,0,0,2,0,3
000011.jpg,1,0,0,2,0,3
000012.jpg,1,0,0,1,0,3
000013.jpg,1,0,0,0,0,3
000014.jpg,1,0,0,1,0,3
000015.jpg,0,0,0,1,0,3
000016.jpg,0,0,0,1,0,3
000017.jpg,1,0,0,2,0,3
000018.jpg,1,0,0,2,0,3
000019.jpg,1,0,0,2,0,6
000020.jpg,0,0,1,2,0,2
000021.jpg,1,0,0,0,0,5
000022.jpg,1,0,0,2,0,6
000023.jpg,0,0,0,1,0,3
000024.jpg,1,0,0,2,0,2
000025.jpg,0,0,0,1,0,6
000026.jpg,1,0,0,2,0,6
000027.jpg,1,0,1,2,0,3
000028.jpg,1,0,1,2,0,3
000029.jpg,1,0,0,2,0,3
000030.jpg,1,0,0,2,0,6
000031.jpg,1,0,0,1,0,3
000032.jpg,0,0,0,1,0,2
000033.jpg,0,0,0,1,0,3
000034.jpg,1,0,0,2,0,6
000035.jpg,1,0,0,2,0,3
000036.jpg,0,0,1,1,0,3
000037.jpg,0,0,1,1,0,6
000038.jpg,0,0,0,1,0,3
000039.jpg,1,0,0,2,0,3
000040.jpg,1,0,0,2,0,3
000041.jpg,1,0,1,1,0,3
000042.jpg,1,0,0,2,0,3
000043.jpg,1,0,0,2,0,3
000044.jpg,1,0,0,2,0,3
000045.jpg,1,1,0,2,0,3
000046.jpg,1,0,0,2,0,3
000047.jpg,1,0,0,2,0,3
000048.jpg,1,0,0,2,0,6
000049.jpg,0,0,1,1,0,3
000050.jpg,0,0,0,1,0,3
000051.jpg,0,0,0,0,0,3
000052.jpg,0,0,1,1,0,0
000053.jpg,1,1,0,1,0,3
000054.jpg,1,0,0,2,0,3
000055.jpg,0,0,0,1,0,6
000056.jpg,1,0,0,2,0,3
000057.jpg,1,0,0,2,0,6
000058.jpg,1,0,0,2,0,6
000059.jpg,1,0,0,2,0,0
000060.jpg,0,0,1,2,0,3
000061.jpg,1,0,0,1,0,0
000062.jpg,1,0,0,2,0,3
000063.jpg,1,0,0,2,0,3
000064.jpg,0,0,1,1,0,3
000065.jpg,0,0,0,1,0,3
000066.jpg,1,0,0,2,0,3
000067.jpg,1,0,0,2,0,2
000068.jpg,0,0,0,1,0,3
000069.jpg,0,0,1,1,0,2
000070.jpg,0,0,0,1,0,3
000071.jpg,1,0,0,2,0,3
000072.jpg,0,0,0,1,0,3
000073.jpg,1,0,0,2,0,3
000074.jpg,1,0,0,2,0,3
000075.jpg,1,0,0,2,0,6
000076.jpg,0,0,1,2,0,3
000077.jpg,1,0,0,2,0,3
000078.jpg,1,0,0,2,0,3
000079.jpg,0,0,0,0,0,3
000080.jpg,1,0,1,1,0,3
000081.jpg,1,0,0,1,0,3
000082.jpg,0,0,0,1,0,3
000083.jpg,1,0,0,2,0,3
000084.jpg,1,1,0,2,0,3
000085.jpg,1,0,0,2,0,3
000086.jpg,1,0,0,2,0,6
000087.jpg,1,0,0,2,0,3
000088.jpg,1,0,0,2,0,6
000089.jpg,1,0,0,2,0,2
000090.jpg,0,0,0,1,0,6
000091.jpg,1,0,0,1,0,2
000092.jpg,1,0,0,2,0,3
000093.jpg,1,1,0,2,0,6
000094.jpg,1,0,0,2,0,3
000095.jpg,1,0,0,1,1,6
000096.jpg,1,0,0,2,0,6
000097.jpg,1,0,0,2,0,0
000098.jpg,1,0,0,2,0,0
000099.jpg,1,1,0,2,0,3
000100.jpg,0,0,0,2,0,3
000101.jpg,1,0,0,2,0,3
000102.jpg,0,1,0,2,0,0
000103.jpg,1,0,0,2,0,6
000104.jpg,0,0,0,1,0,3
000105.jpg,0,0,0,1,0,6
