29752
correct_label glass
faces/face-1.jpg 0 0
faces/face-3.jpg 1 1
faces/face-4.jpg 0 0
faces/face-5.jpg 0 0
faces/face-6.jpg 1 1
faces/face-7.jpg 1 1
faces/face-8.jpg 1 1
faces/face-9.jpg 0 0
faces/face-10.jpg 1 1
faces/face-11.jpg 0 0
faces/face-12.jpg 1 1
faces/face-13.jpg 0 0
faces/face-14.jpg 1 1
faces/face-15.jpg 1 1
faces/face-17.jpg 1 1
faces/face-19.jpg 1 1
faces/face-20.jpg 0 0
faces/face-21.jpg 0 0
faces/face-23.jpg 1 1
faces/face-24.jpg 0 0
faces/face-25.jpg 1 1
faces/face-26.jpg 0 0
faces/face-27.jpg 1 1
faces/face-28.jpg 1 1
faces/face-29.jpg 0 0
faces/face-30.jpg 0 1
faces/face-31.jpg 0 1
faces/face-32.jpg 1 1
faces/face-33.jpg 1 1
faces/face-34.jpg 0 0
faces/face-35.jpg 1 1
faces/face-36.jpg 1 1
faces/face-37.jpg 0 0
faces/face-38.jpg 0 0
faces/face-39.jpg 0 0
faces/face-40.jpg 0 0
faces/face-41.jpg 1 1
faces/face-42.jpg 1 1
faces/face-43.jpg 1 1
faces/face-44.jpg 0 0
faces/face-45.jpg 0 1
faces/face-46.jpg 1 1
faces/face-47.jpg 0 0
faces/face-48.jpg 0 0
faces/face-49.jpg 0 0
faces/face-50.jpg 1 1
faces/face-51.jpg 1 1
faces/face-52.jpg 0 0
faces/face-53.jpg 1 1
faces/face-54.jpg 0 0
faces/face-55.jpg 1 1
faces/face-56.jpg 1 1
faces/face-57.jpg 0 0
faces/face-58.jpg 0 1
faces/face-59.jpg 0 0
faces/face-60.jpg 1 1
faces/face-61.jpg 1 1
faces/face-62.jpg 1 1
faces/face-63.jpg 0 0
faces/face-64.jpg 0 0
faces/face-66.jpg 1 1
faces/face-67.jpg 0 0
faces/face-68.jpg 0 0
faces/face-69.jpg 0 0
faces/face-70.jpg 1 1
faces/face-71.jpg 0 1
faces/face-72.jpg 1 1
faces/face-73.jpg 1 1
faces/face-74.jpg 1 1
faces/face-75.jpg 0 0
faces/face-76.jpg 1 1
faces/face-77.jpg 1 1
faces/face-78.jpg 1 1
faces/face-79.jpg 1 1
faces/face-80.jpg 1 1
faces/face-81.jpg 0 0
faces/face-82.jpg 1 1
faces/face-83.jpg 1 1
faces/face-84.jpg 0 0
faces/face-85.jpg 1 1
faces/face-86.jpg 1 1
faces/face-87.jpg 0 0
faces/face-88.jpg 1 1
faces/face-89.jpg 0 0
faces/face-90.jpg 0 0
faces/face-92.jpg 0 0
faces/face-93.jpg 0 0
faces/face-94.jpg 1 1
faces/face-96.jpg 1 1
faces/face-97.jpg 1 1
faces/face-98.jpg 0 1
faces/face-99.jpg 0 0
faces/face-100.jpg 1 1
faces/face-103.jpg 1 1
faces/face-104.jpg 0 0
faces/face-105.jpg 0 1
faces/face-107.jpg 1 0
faces/face-108.jpg 0 1
faces/face-109.jpg 1 1
faces/face-111.jpg 1 1
faces/face-112.jpg 1 1
faces/face-113.jpg 0 0
faces/face-114.jpg 0 1
faces/face-115.jpg 0 0
faces/face-116.jpg 1 1
faces/face-118.jpg 0 0
faces/face-119.jpg 0 1
faces/face-120.jpg 0 1
faces/face-121.jpg 1 1
faces/face-122.jpg 0 0
faces/face-123.jpg 1 1
faces/face-124.jpg 1 1
faces/face-126.jpg 1 1
faces/face-127.jpg 1 1
faces/face-128.jpg 0 0
faces/face-129.jpg 1 1
faces/face-130.jpg 1 1
faces/face-131.jpg 1 1
faces/face-132.jpg 0 0
faces/face-133.jpg 1 1
faces/face-135.jpg 1 1
faces/face-136.jpg 1 1
faces/face-137.jpg 1 1
faces/face-138.jpg 1 1
faces/face-139.jpg 0 0
faces/face-140.jpg 0 0
faces/face-141.jpg 0 0
faces/face-142.jpg 1 1
faces/face-143.jpg 0 0
faces/face-144.jpg 0 0
faces/face-145.jpg 1 1
faces/face-146.jpg 1 1
faces/face-147.jpg 0 0
faces/face-149.jpg 1 1
faces/face-150.jpg 0 0
faces/face-151.jpg 0 1
faces/face-152.jpg 0 0
faces/face-153.jpg 1 1
faces/face-154.jpg 0 1
faces/face-155.jpg 1 1
faces/face-156.jpg 1 1
faces/face-157.jpg 0 0
faces/face-159.jpg 1 1
faces/face-160.jpg 0 0
faces/face-161.jpg 1 1
faces/face-162.jpg 1 1
faces/face-163.jpg 1 1
faces/face-164.jpg 1 1
faces/face-165.jpg 1 1
faces/face-166.jpg 1 1
faces/face-167.jpg 0 0
faces/face-168.jpg 0 0
faces/face-169.jpg 0 0
faces/face-170.jpg 0 0
faces/face-171.jpg 0 0
faces/face-172.jpg 0 0
faces/face-173.jpg 1 1
faces/face-174.jpg 0 0
faces/face-175.jpg 1 1
faces/face-176.jpg 1 1
faces/face-177.jpg 0 1
faces/face-178.jpg 1 1
faces/face-179.jpg 1 1
faces/face-180.jpg 1 1
faces/face-182.jpg 0 0
faces/face-183.jpg 1 1
faces/face-184.jpg 1 1
faces/face-185.jpg 1 1
faces/face-186.jpg 1 1
faces/face-188.jpg 1 1
faces/face-189.jpg 0 0
faces/face-190.jpg 1 1
faces/face-191.jpg 1 1
faces/face-192.jpg 0 0
faces/face-193.jpg 0 0
faces/face-194.jpg 0 0
faces/face-195.jpg 1 0
faces/face-196.jpg 0 0
faces/face-197.jpg 0 0
faces/face-198.jpg 1 1
faces/face-199.jpg 0 0
faces/face-200.jpg 0 0
faces/face-201.jpg 1 1
faces/face-203.jpg 1 1
faces/face-204.jpg 1 1
faces/face-205.jpg 1 1
faces/face-207.jpg 1 1
faces/face-208.jpg 1 1
faces/face-210.jpg 0 0
faces/face-211.jpg 1 1
faces/face-212.jpg 1 1
faces/face-213.jpg 0 0
faces/face-214.jpg 1 1
faces/face-215.jpg 1 1
faces/face-216.jpg 0 0
faces/face-217.jpg 0 0
faces/face-219.jpg 1 1
faces/face-220.jpg 1 1
faces/face-221.jpg 1 1
faces/face-222.jpg 1 1
faces/face-223.jpg 0 0
faces/face-224.jpg 1 1
faces/face-225.jpg 1 1
faces/face-226.jpg 0 0
faces/face-227.jpg 0 1
faces/face-228.jpg 0 0
faces/face-229.jpg 1 1
faces/face-230.jpg 0 0
faces/face-231.jpg 0 0
faces/face-232.jpg 1 1
faces/face-233.jpg 1 1
faces/face-234.jpg 1 1
faces/face-235.jpg 1 1
faces/face-236.jpg 1 1
faces/face-237.jpg 1 1
faces/face-239.jpg 0 0
faces/face-240.jpg 1 1
faces/face-241.jpg 1 1
faces/face-242.jpg 0 1
faces/face-243.jpg 0 0
faces/face-245.jpg 1 1
faces/face-246.jpg 0 0
faces/face-247.jpg 1 1
faces/face-248.jpg 0 0
faces/face-249.jpg 0 0
faces/face-250.jpg 0 0
faces/face-252.jpg 1 1
faces/face-253.jpg 1 1
faces/face-254.jpg 0 0
faces/face-256.jpg 1 1
faces/face-257.jpg 1 1
faces/face-259.jpg 0 0
faces/face-261.jpg 1 1
faces/face-263.jpg 1 1
faces/face-264.jpg 0 0
faces/face-265.jpg 1 1
